2023-04-20 06:49:10,061 INFO Tickers: ['TJX']
2023-04-20 06:50:14,063 INFO Negative OS: -0.02280571432590972 --- ticker TJX --- day 2017-05-16 --- time 41400
2023-04-20 06:51:42,224 INFO Negative OS: -0.07578648890423012 --- ticker TJX --- day 2018-02-08 --- time 48600
2023-04-20 06:51:49,341 INFO Negative OS: -0.1178072472328564 --- ticker TJX --- day 2018-02-14 --- time 46800
2023-04-20 06:56:26,136 INFO Negative OS: -3.0437380945593606 --- ticker TJX --- day 2019-09-26 --- time 36000
2023-04-20 06:57:02,704 INFO Negative OS: -9.575868884553135 --- ticker TJX --- day 2019-10-30 --- time 48600
2023-04-20 06:57:48,271 INFO in_r2: 0.9484669011618281 , std 0.0516215972106524 
2023-04-20 06:57:48,271 INFO os_r2: 0.9225219327103737 , std 0.16473568988015613 
2023-04-20 06:57:48,271 INFO intercept: -1.1502771477084608e-07 , std 5.910726313293755e-06 
2023-04-20 06:57:48,271 INFO ofi_add_1: 6.235514740595049e-05 , std 6.121865726397837e-05 
2023-04-20 06:57:48,271 INFO ofi_add_2: 9.75732387690462e-05 , std 5.7357830365954036e-05 
2023-04-20 06:57:48,271 INFO ofi_add_3: 8.974634143040358e-05 , std 5.4966765185088233e-05 
2023-04-20 06:57:48,271 INFO ofi_add_4: 8.887997086351208e-05 , std 5.675186113288639e-05 
2023-04-20 06:57:48,271 INFO ofi_add_5: 8.073590906961789e-05 , std 5.7542821403236145e-05 
2023-04-20 06:57:48,271 INFO ofi_add_6: 7.958680681038939e-05 , std 5.855497956315654e-05 
2023-04-20 06:57:48,271 INFO ofi_add_7: 7.448280824501201e-05 , std 5.8179394264147886e-05 
2023-04-20 06:57:48,271 INFO ofi_add_8: 5.9816845701105064e-05 , std 5.528683351044627e-05 
2023-04-20 06:57:48,271 INFO ofi_add_9: 5.2380742495417766e-05 , std 5.2563369421262316e-05 
2023-04-20 06:57:48,271 INFO ofi_add_10: 4.598900368591228e-05 , std 5.217739519162425e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_1: 5.070668458188237e-05 , std 6.624145962316687e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_2: 9.361770039687194e-05 , std 6.547611407768459e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_3: 8.668185156399928e-05 , std 5.953337304570246e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_4: 8.953066780932999e-05 , std 6.328920495406987e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_5: 8.058746489480453e-05 , std 6.47036144958352e-05 
2023-04-20 06:57:48,271 INFO ofi_cancel_6: 7.684996660392174e-05 , std 6.675856175223505e-05 
