2023-04-20 06:23:18,178 INFO Tickers: ['TXN']
2023-04-20 06:26:54,181 INFO Negative OS: -2.2176203853360708 --- ticker TXN --- day 2018-01-23 --- time 36000
2023-04-20 06:27:06,164 INFO Negative OS: -0.11427091460921202 --- ticker TXN --- day 2018-01-30 --- time 48600
2023-04-20 06:27:28,853 INFO Negative OS: -0.1495952997457084 --- ticker TXN --- day 2018-02-21 --- time 48600
2023-04-20 06:32:37,914 INFO Negative OS: -2.9611550790771854 --- ticker TXN --- day 2019-04-16 --- time 45000
2023-04-20 06:33:23,439 INFO Negative OS: -0.006742912135011325 --- ticker TXN --- day 2019-06-03 --- time 52200
2023-04-20 06:33:50,529 INFO Negative OS: -0.17915690244575044 --- ticker TXN --- day 2019-07-15 --- time 50400
2023-04-20 06:35:30,144 INFO Negative OS: -1.7124621977579615 --- ticker TXN --- day 2019-12-05 --- time 52200
2023-04-20 06:35:36,054 INFO in_r2: 0.9388276051992387 , std 0.04197465633778587 
2023-04-20 06:35:36,055 INFO os_r2: 0.9085711034809969 , std 0.09618536390924765 
2023-04-20 06:35:36,055 INFO intercept: -1.5963101256570432e-07 , std 6.243095470539863e-06 
2023-04-20 06:35:36,055 INFO ofi_add_1: 4.4827738813981134e-05 , std 4.205031112632038e-05 
2023-04-20 06:35:36,055 INFO ofi_add_2: 5.936372128995075e-05 , std 4.5440415058713506e-05 
2023-04-20 06:35:36,055 INFO ofi_add_3: 5.6876363135591925e-05 , std 4.235107120689663e-05 
2023-04-20 06:35:36,055 INFO ofi_add_4: 5.1101671803470395e-05 , std 4.109788790229296e-05 
2023-04-20 06:35:36,055 INFO ofi_add_5: 4.4180804029198466e-05 , std 3.8518542792576415e-05 
2023-04-20 06:35:36,055 INFO ofi_add_6: 4.2435476023321593e-05 , std 3.874153026749586e-05 
2023-04-20 06:35:36,055 INFO ofi_add_7: 4.468769681641286e-05 , std 4.4373032058596795e-05 
2023-04-20 06:35:36,055 INFO ofi_add_8: 4.4400622323351395e-05 , std 4.1934651563274195e-05 
2023-04-20 06:35:36,055 INFO ofi_add_9: 4.199161467547045e-05 , std 4.2087552400279706e-05 
2023-04-20 06:35:36,055 INFO ofi_add_10: 4.843473456454446e-05 , std 4.540849949057282e-05 
2023-04-20 06:35:36,055 INFO ofi_cancel_1: 4.4737881922593774e-05 , std 4.87679555961615e-05 
2023-04-20 06:35:36,055 INFO ofi_cancel_2: 6.393231566604281e-05 , std 4.9669631320822044e-05 
2023-04-20 06:35:36,055 INFO ofi_cancel_3: 5.69444112464563e-05 , std 4.5171058799565496e-05 
2023-04-20 06:35:36,055 INFO ofi_cancel_4: 5.04879313066919e-05 , std 4.4129292769126146e-05 
