2023-04-20 05:39:05,966 INFO Tickers: ['WFC']
2023-04-20 05:49:09,149 INFO in_r2: 0.992282152679666 , std 0.0065171855163833 
2023-04-20 05:49:09,149 INFO os_r2: 0.9806377033996481 , std 0.026656382213191433 
2023-04-20 05:49:09,149 INFO intercept: -8.317823773943641e-08 , std 2.360427627265802e-06 
2023-04-20 05:49:09,149 INFO ofi_add_1: 3.362329646628825e-05 , std 2.352371103213072e-05 
2023-04-20 05:49:09,149 INFO ofi_add_2: 0.00010141833953631577 , std 4.614493316952412e-05 
2023-04-20 05:49:09,149 INFO ofi_add_3: 8.720349874756357e-05 , std 4.754836350958503e-05 
2023-04-20 05:49:09,149 INFO ofi_add_4: 6.938705521900736e-05 , std 5.2964608829113016e-05 
2023-04-20 05:49:09,149 INFO ofi_add_5: 0.00011274551483815197 , std 5.530805646998061e-05 
2023-04-20 05:49:09,149 INFO ofi_add_6: 0.00013863046822641054 , std 6.884134581049247e-05 
2023-04-20 05:49:09,149 INFO ofi_add_7: 0.0001137911583424105 , std 7.159684076770585e-05 
2023-04-20 05:49:09,149 INFO ofi_add_8: 9.467610073235083e-05 , std 7.130938759445278e-05 
2023-04-20 05:49:09,149 INFO ofi_add_9: 7.068364251029742e-05 , std 6.668799766343268e-05 
2023-04-20 05:49:09,149 INFO ofi_add_10: 5.856186945582799e-05 , std 6.0537287641223374e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_1: 2.06013219745092e-05 , std 2.2397379222731626e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_2: 7.398458603196078e-05 , std 4.334445565670869e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_3: 8.594137876009594e-05 , std 5.0529771029287295e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_4: 7.507465782782098e-05 , std 5.875472599028596e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_5: 0.00010432537509621733 , std 6.298752057242168e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_6: 0.00014174093740908133 , std 8.486723759647982e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_7: 0.00011483436178044793 , std 8.781265258223374e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_8: 9.967587887451326e-05 , std 9.095504651710935e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_9: 7.850515873357718e-05 , std 8.509401879093999e-05 
2023-04-20 05:49:09,149 INFO ofi_cancel_10: 4.593481787764456e-05 , std 6.943015503276934e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_1: 7.172536629992663e-06 , std 2.5029826737268712e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_2: 0.00010441558026608988 , std 5.8500649173108985e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_3: 0.00010584914830850494 , std 6.045386289128467e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_4: 7.864344044997924e-05 , std 5.646106651464172e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_5: 0.00011943662144529189 , std 6.455658517282131e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_6: 0.00012546579381863282 , std 7.552653394700935e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_7: 9.550011889507997e-05 , std 7.592284694683632e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_8: 7.550244482148445e-05 , std 7.235544083470505e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_9: 6.018509144381304e-05 , std 6.586164960375384e-05 
2023-04-20 05:49:09,150 INFO ofi_trade_10: 4.651620736574469e-05 , std 5.920323173722978e-05 
2023-04-20 05:49:09,150 INFO t_intercept: -0.012585996442282954 , std 1.1596601540056817 
2023-04-20 05:49:09,150 INFO t_ofi_add_1: 2.4681574542834186 , std 1.5879831318083686 
2023-04-20 05:49:09,150 INFO t_ofi_add_2: 4.3820060376825 , std 2.0884311370026847 
2023-04-20 05:49:09,150 INFO t_ofi_add_3: 3.85313094224228 , std 1.9693175624652552 
2023-04-20 05:49:09,150 INFO t_ofi_add_4: 3.1818360927737825 , std 1.9425785856967976 
2023-04-20 05:49:09,150 INFO t_ofi_add_5: 4.259712377659849 , std 2.3967182216897815 
2023-04-20 05:49:09,150 INFO t_ofi_add_6: 3.845798127594469 , std 2.237988935242226 
2023-04-20 05:49:09,150 INFO t_ofi_add_7: 2.7850580295266933 , std 2.095397018398354 
2023-04-20 05:49:09,150 INFO t_ofi_add_8: 2.2463562634320597 , std 2.069146140659092 
2023-04-20 05:49:09,150 INFO t_ofi_add_9: 1.7810213018323595 , std 2.0546021205756073 
2023-04-20 05:49:09,150 INFO t_ofi_add_10: 1.6360391932541196 , std 2.157689188101501 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_1: 1.3307271437622525 , std 1.3481532290456992 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_2: 3.1526935070309907 , std 1.8487485422732322 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_3: 3.4291495724793717 , std 1.7980728971480786 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_4: 2.9290063843796847 , std 1.7611310667219695 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_5: 3.174813390807343 , std 1.902822744954409 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_6: 3.117665132866065 , std 1.9595573349637982 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_7: 2.218584391412961 , std 1.8056108248546359 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_8: 1.788250398804427 , std 1.7715223066144545 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_9: 1.432018534875396 , std 1.6788608933060793 
2023-04-20 05:49:09,150 INFO t_ofi_cancel_10: 1.0364137560642552 , std 1.74248452634082 
2023-04-20 05:49:09,150 INFO t_ofi_trade_1: 0.2238311477982102 , std 0.7824347409475361 
2023-04-20 05:49:09,150 INFO t_ofi_trade_2: 3.2078299404873167 , std 1.9567260833564786 
2023-04-20 05:49:09,150 INFO t_ofi_trade_3: 3.2819161400194314 , std 1.9200642181420142 
2023-04-20 05:49:09,150 INFO t_ofi_trade_4: 2.7443121283623073 , std 1.9444280898804236 
2023-04-20 05:49:09,150 INFO t_ofi_trade_5: 3.545532889947015 , std 2.1970102609547792 
2023-04-20 05:49:09,150 INFO t_ofi_trade_6: 2.9887212082118877 , std 2.093655775505151 
