2023-04-20 05:12:43,627 INFO Tickers: ['D']
2023-04-20 05:13:04,043 INFO Negative OS: -0.011364643719330214 --- ticker D --- day 2018-02-09 --- time 50400
2023-04-20 05:13:04,577 INFO Negative OS: -3.498346995739259 --- ticker D --- day 2018-02-21 --- time 37800
2023-04-20 05:13:07,787 INFO Negative OS: -7.858069735289249 --- ticker D --- day 2018-04-18 --- time 52200
2023-04-20 05:13:11,491 INFO Negative OS: -0.2603236451002293 --- ticker D --- day 2018-06-28 --- time 46800
2023-04-20 05:13:12,304 INFO Negative OS: -0.3194810414422662 --- ticker D --- day 2018-07-13 --- time 52200
2023-04-20 05:13:20,998 INFO Negative OS: -0.7052448626290331 --- ticker D --- day 2018-12-19 --- time 48600
2023-04-20 05:13:35,271 INFO Negative OS: -11.674886207976272 --- ticker D --- day 2019-09-03 --- time 50400
2023-04-20 05:13:41,244 INFO in_r2: 0.9413572880525437 , std 0.03607726593197899 
2023-04-20 05:13:41,244 INFO os_r2: 0.8956098936874277 , std 0.2250550055135905 
2023-04-20 05:13:41,244 INFO intercept: 1.4723424691756324e-07 , std 4.632211198462274e-06 
2023-04-20 05:13:41,244 INFO ofi_add_1: 4.950823735437199e-05 , std 6.713615821514583e-05 
2023-04-20 05:13:41,244 INFO ofi_add_2: 9.47487569535555e-05 , std 7.210822652171888e-05 
2023-04-20 05:13:41,244 INFO ofi_add_3: 7.655729092483715e-05 , std 6.525312116328225e-05 
2023-04-20 05:13:41,244 INFO ofi_add_4: 7.180326590125774e-05 , std 7.13688007197915e-05 
2023-04-20 05:13:41,244 INFO ofi_add_5: 6.823559152807991e-05 , std 7.767313429546497e-05 
2023-04-20 05:13:41,244 INFO ofi_add_6: 6.504599414574268e-05 , std 7.672379326901336e-05 
2023-04-20 05:13:41,244 INFO ofi_add_7: 6.050235914596257e-05 , std 7.877436791462959e-05 
2023-04-20 05:13:41,244 INFO ofi_add_8: 5.62927580640777e-05 , std 8.767544256892129e-05 
2023-04-20 05:13:41,244 INFO ofi_add_9: 5.1064080849677774e-05 , std 9.574789390316777e-05 
2023-04-20 05:13:41,244 INFO ofi_add_10: 5.531854535697942e-05 , std 9.178547729124163e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_1: 5.027124826270182e-05 , std 7.295619796395386e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_2: 9.711654601981984e-05 , std 7.568150982699576e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_3: 7.567985864294711e-05 , std 7.090531591814145e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_4: 6.930366397824722e-05 , std 7.855617861012979e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_5: 6.696472939736734e-05 , std 8.218313471147632e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_6: 6.244087015357739e-05 , std 8.376687945391792e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_7: 5.6457202080974674e-05 , std 8.452782281160439e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_8: 5.5239241193139284e-05 , std 9.609045804402808e-05 
2023-04-20 05:13:41,244 INFO ofi_cancel_9: 4.960657258150352e-05 , std 0.0001032753092973668 
2023-04-20 05:13:41,244 INFO ofi_cancel_10: 5.577048924614207e-05 , std 0.00010043580932699443 
2023-04-20 05:13:41,244 INFO ofi_trade_1: 3.814294721043184e-05 , std 0.0001761810395530449 
2023-04-20 05:13:41,244 INFO ofi_trade_2: 9.753374456182337e-05 , std 0.00013658971847593158 
2023-04-20 05:13:41,244 INFO ofi_trade_3: 6.168699929132825e-05 , std 0.0001268122432254731 
2023-04-20 05:13:41,244 INFO ofi_trade_4: 6.671373228344078e-05 , std 0.00012970823753474358 
2023-04-20 05:13:41,244 INFO ofi_trade_5: 7.189372793257092e-05 , std 0.00014040394798127336 
2023-04-20 05:13:41,244 INFO ofi_trade_6: 6.704132614654115e-05 , std 0.0001480933240659583 
2023-04-20 05:13:41,244 INFO ofi_trade_7: 6.153742303785841e-05 , std 0.00015311540577586975 
2023-04-20 05:13:41,244 INFO ofi_trade_8: 7.097963142104154e-05 , std 0.0001616451902732236 
2023-04-20 05:13:41,244 INFO ofi_trade_9: 6.728348181099846e-05 , std 0.00017223898461810576 
2023-04-20 05:13:41,244 INFO ofi_trade_10: 8.195109265973548e-05 , std 0.00016800307051808213 
2023-04-20 05:13:41,244 INFO t_intercept: 0.021458421309642213 , std 0.9376886903854563 
2023-04-20 05:13:41,244 INFO t_ofi_add_1: 1.267218633500302 , std 1.6044261823311008 
2023-04-20 05:13:41,244 INFO t_ofi_add_2: 2.198384366090047 , std 1.4986466566039274 
2023-04-20 05:13:41,245 INFO t_ofi_add_3: 1.7486800822543038 , std 1.403475968251552 
2023-04-20 05:13:41,245 INFO t_ofi_add_4: 1.525693620034607 , std 1.4477670672175817 
2023-04-20 05:13:41,245 INFO t_ofi_add_5: 1.3767981314406685 , std 1.4444257709718482 
2023-04-20 05:13:41,245 INFO t_ofi_add_6: 1.2878351196344717 , std 1.3973754229773778 
2023-04-20 05:13:41,245 INFO t_ofi_add_7: 1.148283361945739 , std 1.363724008045539 
2023-04-20 05:13:41,245 INFO t_ofi_add_8: 0.9626682572582307 , std 1.3612036420083429 
2023-04-20 05:13:41,245 INFO t_ofi_add_9: 0.8334598162314129 , std 1.3764064960347069 
2023-04-20 05:13:41,245 INFO t_ofi_add_10: 0.9874969599654456 , std 1.4669225226266613 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_1: 1.1056876065313532 , std 1.5250566935107572 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_2: 2.1620156133470823 , std 1.5119617201146842 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_3: 1.5730863385125522 , std 1.384673982335735 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_4: 1.341192887858271 , std 1.42027115371615 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_5: 1.2197815034581951 , std 1.385901776370069 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_6: 1.114749248809304 , std 1.3599634282052881 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_7: 0.9868731911073524 , std 1.3348709622782855 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_8: 0.8612917749571565 , std 1.3453722682270701 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_9: 0.7301393157289988 , std 1.363801962594312 
2023-04-20 05:13:41,245 INFO t_ofi_cancel_10: 0.8970828787457786 , std 1.437434731147363 
2023-04-20 05:13:41,245 INFO t_ofi_trade_1: 0.35246887403954863 , std 1.38117603649872 
2023-04-20 05:13:41,245 INFO t_ofi_trade_2: 1.1184146961082249 , std 1.3886529249054786 
2023-04-20 05:13:41,245 INFO t_ofi_trade_3: 0.7803417865599181 , std 1.3758280012085906 
2023-04-20 05:13:41,245 INFO t_ofi_trade_4: 0.819508448203355 , std 1.3591940607076591 
2023-04-20 05:13:41,245 INFO t_ofi_trade_5: 0.8273558020048317 , std 1.3498247470106999 
2023-04-20 05:13:41,245 INFO t_ofi_trade_6: 0.7329266980463208 , std 1.3573003664609378 
2023-04-20 05:13:41,245 INFO t_ofi_trade_7: 0.6684437159560997 , std 1.3646369715622917 
