2023-04-20 05:10:20,538 INFO Tickers: ['FIS']
2023-04-20 05:10:37,986 INFO Negative OS: -0.4771851374216689 --- ticker FIS --- day 2018-02-09 --- time 37800
2023-04-20 05:10:40,151 INFO Negative OS: -0.17550508278677812 --- ticker FIS --- day 2018-04-02 --- time 52200
2023-04-20 05:10:40,215 INFO Negative OS: -0.5398113381430583 --- ticker FIS --- day 2018-04-03 --- time 52200
2023-04-20 05:10:41,503 INFO Negative OS: -0.21427601915116745 --- ticker FIS --- day 2018-05-02 --- time 36000
2023-04-20 05:10:41,788 INFO Negative OS: -0.17853191381677025 --- ticker FIS --- day 2018-05-08 --- time 52200
2023-04-20 05:10:48,869 INFO Negative OS: -0.8733313596556567 --- ticker FIS --- day 2018-10-17 --- time 37800
2023-04-20 05:10:48,935 INFO Negative OS: -0.08146758684224498 --- ticker FIS --- day 2018-10-18 --- time 36000
2023-04-20 05:10:49,048 INFO Negative OS: -0.027106645973652865 --- ticker FIS --- day 2018-10-19 --- time 50400
2023-04-20 05:10:49,162 INFO Negative OS: -1.3405035750142291 --- ticker FIS --- day 2018-10-23 --- time 36000
2023-04-20 05:10:49,185 INFO Negative OS: -0.763992169816293 --- ticker FIS --- day 2018-10-23 --- time 43200
2023-04-20 05:10:49,207 INFO Negative OS: -0.569271413310406 --- ticker FIS --- day 2018-10-23 --- time 50400
2023-04-20 05:10:49,291 INFO Negative OS: -0.34245570721561136 --- ticker FIS --- day 2018-10-24 --- time 50400
2023-04-20 05:10:49,341 INFO Negative OS: -0.643880510747421 --- ticker FIS --- day 2018-10-25 --- time 39600
2023-04-20 05:10:49,508 INFO Negative OS: -0.4351968084691531 --- ticker FIS --- day 2018-10-29 --- time 39600
2023-04-20 05:10:49,583 INFO Negative OS: -0.6655768602723564 --- ticker FIS --- day 2018-10-30 --- time 37800
2023-04-20 05:10:49,657 INFO Negative OS: -0.14077567463355667 --- ticker FIS --- day 2018-10-31 --- time 36000
2023-04-20 05:10:49,674 INFO Negative OS: -0.08124706365214918 --- ticker FIS --- day 2018-10-31 --- time 41400
2023-04-20 05:10:50,520 INFO Negative OS: -0.23595696526682652 --- ticker FIS --- day 2018-11-15 --- time 41400
2023-04-20 05:10:50,978 INFO Negative OS: -0.09816054981422839 --- ticker FIS --- day 2018-11-27 --- time 36000
2023-04-20 05:10:51,724 INFO Negative OS: -0.18223517936790512 --- ticker FIS --- day 2018-12-11 --- time 48600
2023-04-20 05:10:51,774 INFO Negative OS: -4.1297124510628285 --- ticker FIS --- day 2018-12-12 --- time 37800
2023-04-20 05:10:51,943 INFO Negative OS: -0.5985619576346382 --- ticker FIS --- day 2018-12-14 --- time 43200
2023-04-20 05:10:52,010 INFO Negative OS: -0.004755334791628263 --- ticker FIS --- day 2018-12-17 --- time 37800
2023-04-20 05:10:52,206 INFO Negative OS: -0.08529621095796402 --- ticker FIS --- day 2018-12-19 --- time 52200
2023-04-20 05:10:52,336 INFO Negative OS: -0.06974174089948182 --- ticker FIS --- day 2018-12-21 --- time 41400
2023-04-20 05:10:52,413 INFO Negative OS: -0.7169156766559883 --- ticker FIS --- day 2018-12-24 --- time 39600
2023-04-20 05:10:52,657 INFO Negative OS: -0.5078640192603234 --- ticker FIS --- day 2018-12-28 --- time 41400
2023-04-20 05:10:52,679 INFO Negative OS: -0.6677926630000357 --- ticker FIS --- day 2018-12-28 --- time 48600
2023-04-20 05:10:52,741 INFO Negative OS: -0.13414646033718114 --- ticker FIS --- day 2018-12-31 --- time 41400
2023-04-20 05:10:52,746 INFO Negative OS: -0.15870861180521167 --- ticker FIS --- day 2018-12-31 --- time 43200
2023-04-20 05:10:52,981 INFO Negative OS: -0.4142235003080663 --- ticker FIS --- day 2019-01-04 --- time 37800
2023-04-20 05:10:53,064 INFO Negative OS: -0.0363978247061727 --- ticker FIS --- day 2019-01-07 --- time 37800
2023-04-20 05:10:53,149 INFO Negative OS: -0.3374761551837169 --- ticker FIS --- day 2019-01-08 --- time 41400
2023-04-20 05:10:53,304 INFO Negative OS: -0.07601448789743404 --- ticker FIS --- day 2019-01-11 --- time 41400
2023-04-20 05:10:53,443 INFO Negative OS: -3.68499953397596 --- ticker FIS --- day 2019-01-15 --- time 39600
2023-04-20 05:10:53,473 INFO Negative OS: -2.7988080378407143 --- ticker FIS --- day 2019-01-15 --- time 52200
2023-04-20 05:10:53,529 INFO Negative OS: -0.02681902807154324 --- ticker FIS --- day 2019-01-16 --- time 43200
2023-04-20 05:10:53,546 INFO Negative OS: -0.1501003322990806 --- ticker FIS --- day 2019-01-16 --- time 50400
2023-04-20 05:10:53,834 INFO Negative OS: -0.8880858507518621 --- ticker FIS --- day 2019-01-23 --- time 41400
2023-04-20 05:10:55,127 INFO Negative OS: -0.21041526985244507 --- ticker FIS --- day 2019-02-19 --- time 41400
2023-04-20 05:10:56,016 INFO Negative OS: -2.5424518936378497 --- ticker FIS --- day 2019-03-07 --- time 36000
2023-04-20 05:10:58,727 INFO Negative OS: -20.961155783631142 --- ticker FIS --- day 2019-04-25 --- time 50400
2023-04-20 05:11:05,157 INFO Negative OS: -1.401496498400447 --- ticker FIS --- day 2019-08-20 --- time 41400
2023-04-20 05:11:10,426 INFO Negative OS: -0.08613101201866358 --- ticker FIS --- day 2019-12-04 --- time 50400
2023-04-20 05:11:10,861 INFO Negative OS: -0.7691955458000856 --- ticker FIS --- day 2019-12-12 --- time 52200
2023-04-20 05:11:10,957 INFO in_r2: 0.8624586011174501 , std 0.08789326747966184 
2023-04-20 05:11:10,958 INFO os_r2: 0.7160937841284679 , std 0.5459678933767345 
2023-04-20 05:11:10,958 INFO intercept: 8.635162965900284e-08 , std 1.1200187263897451e-05 
2023-04-20 05:11:10,958 INFO ofi_add_1: 0.00010484959869448477 , std 9.041313956309188e-05 
2023-04-20 05:11:10,958 INFO ofi_add_2: 0.0001083171614910706 , std 9.774899879183263e-05 
2023-04-20 05:11:10,958 INFO ofi_add_3: 7.458439199680167e-05 , std 8.190475565769292e-05 
2023-04-20 05:11:10,958 INFO ofi_add_4: 5.483713005340023e-05 , std 8.586775872409308e-05 
2023-04-20 05:11:10,958 INFO ofi_add_5: 4.047728956729845e-05 , std 9.05046101174899e-05 
2023-04-20 05:11:10,958 INFO ofi_add_6: 4.582206430797477e-05 , std 0.0001049386457462891 
2023-04-20 05:11:10,958 INFO ofi_add_7: 3.980987016999839e-05 , std 0.00011781272026404081 
2023-04-20 05:11:10,958 INFO ofi_add_8: 4.027889607744778e-05 , std 0.00012832209084771823 
2023-04-20 05:11:10,958 INFO ofi_add_9: 2.788362491029543e-05 , std 0.00012591725540760882 
2023-04-20 05:11:10,958 INFO ofi_add_10: 2.4460683588586246e-05 , std 0.0001230824646407202 
2023-04-20 05:11:10,958 INFO ofi_cancel_1: 0.00012483503753037888 , std 0.00010721253325572341 
2023-04-20 05:11:10,958 INFO ofi_cancel_2: 0.00011641745487526389 , std 0.00010418029531150489 
2023-04-20 05:11:10,958 INFO ofi_cancel_3: 7.256119994993759e-05 , std 8.59333625806003e-05 
2023-04-20 05:11:10,958 INFO ofi_cancel_4: 5.284928364650662e-05 , std 9.285407284046298e-05 
2023-04-20 05:11:10,958 INFO ofi_cancel_5: 3.679934011709155e-05 , std 9.484405256487476e-05 
2023-04-20 05:11:10,958 INFO ofi_cancel_6: 4.046391404298503e-05 , std 0.00011131618527957273 
2023-04-20 05:11:10,958 INFO ofi_cancel_7: 3.830048739930313e-05 , std 0.00012301963647654045 
2023-04-20 05:11:10,958 INFO ofi_cancel_8: 3.675971012774267e-05 , std 0.00013478979005581947 
2023-04-20 05:11:10,958 INFO ofi_cancel_9: 2.5793865879308868e-05 , std 0.00012757343487340404 
2023-04-20 05:11:10,958 INFO ofi_cancel_10: 2.8762118028256964e-05 , std 0.00012529416875839828 
2023-04-20 05:11:10,958 INFO ofi_trade_1: 0.00012420289293520393 , std 0.00028444166275064296 
2023-04-20 05:11:10,958 INFO ofi_trade_2: 7.764841150483951e-05 , std 0.0002886801532427852 
2023-04-20 05:11:10,958 INFO ofi_trade_3: 3.849645606837734e-05 , std 0.00028607459432692745 
2023-04-20 05:11:10,958 INFO ofi_trade_4: 5.0356538156199505e-05 , std 0.00029005215583910774 
2023-04-20 05:11:10,958 INFO ofi_trade_5: 4.265128655339383e-05 , std 0.00029111973202668173 
2023-04-20 05:11:10,958 INFO ofi_trade_6: 6.643996747523062e-05 , std 0.0003611385752202377 
2023-04-20 05:11:10,958 INFO ofi_trade_7: 0.00010547368989195533 , std 0.0004143450874957962 
2023-04-20 05:11:10,958 INFO ofi_trade_8: 0.0001128374023603821 , std 0.0003554640478649645 
2023-04-20 05:11:10,958 INFO ofi_trade_9: 9.137972757222294e-05 , std 0.0003514709265897846 
2023-04-20 05:11:10,958 INFO ofi_trade_10: 0.0001088961064031814 , std 0.00032141843385330085 
2023-04-20 05:11:10,958 INFO t_intercept: -0.0029848720939751466 , std 0.9956172120932991 
2023-04-20 05:11:10,958 INFO t_ofi_add_1: 2.541201295703712 , std 1.5295086694256248 
2023-04-20 05:11:10,958 INFO t_ofi_add_2: 2.20735115282919 , std 1.3924944661355927 
2023-04-20 05:11:10,958 INFO t_ofi_add_3: 1.5624906036590793 , std 1.3016213515954835 
2023-04-20 05:11:10,958 INFO t_ofi_add_4: 1.0932964637528826 , std 1.263457303293075 
2023-04-20 05:11:10,958 INFO t_ofi_add_5: 0.8152240790092419 , std 1.2739243634880684 
2023-04-20 05:11:10,958 INFO t_ofi_add_6: 0.7387795355563322 , std 1.2168016496451322 
2023-04-20 05:11:10,958 INFO t_ofi_add_7: 0.6568565191587327 , std 1.290272947468841 
2023-04-20 05:11:10,958 INFO t_ofi_add_8: 0.6039922656138383 , std 1.2661734104382365 
2023-04-20 05:11:10,958 INFO t_ofi_add_9: 0.43614358702976436 , std 1.2776812368944637 
2023-04-20 05:11:10,958 INFO t_ofi_add_10: 0.5134733567283619 , std 1.3712088951612527 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_1: 2.514599354677826 , std 1.5068724598998702 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_2: 2.2502825216314157 , std 1.375856714961196 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_3: 1.4672926414836627 , std 1.3013286025381872 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_4: 1.0061330411792153 , std 1.2786495634348323 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_5: 0.6877540743346214 , std 1.2631071166947299 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_6: 0.614649134893824 , std 1.2316885583214967 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_7: 0.5770632388432246 , std 1.3059841403879482 
2023-04-20 05:11:10,958 INFO t_ofi_cancel_8: 0.522955193466551 , std 1.2822400583048332 
