2023-04-20 05:13:04,532 INFO Tickers: ['SYK']
2023-04-20 05:13:13,427 INFO Negative OS: -3.0566007605375995 --- ticker SYK --- day 2017-07-28 --- time 36000
2023-04-20 05:13:14,557 INFO Negative OS: -0.09484607096586628 --- ticker SYK --- day 2017-08-23 --- time 39600
2023-04-20 05:13:19,367 INFO Negative OS: -0.6463623290708811 --- ticker SYK --- day 2017-12-14 --- time 36000
2023-04-20 05:13:20,989 INFO Negative OS: -2.0994865579127358 --- ticker SYK --- day 2018-01-24 --- time 37800
2023-04-20 05:13:21,050 INFO Negative OS: -0.014281552037492595 --- ticker SYK --- day 2018-01-25 --- time 36000
2023-04-20 05:13:21,550 INFO Negative OS: -1.010958282975396 --- ticker SYK --- day 2018-02-06 --- time 36000
2023-04-20 05:13:21,633 INFO Negative OS: -0.31235317319524025 --- ticker SYK --- day 2018-02-07 --- time 41400
2023-04-20 05:13:22,368 INFO Negative OS: -0.3229936029636229 --- ticker SYK --- day 2018-02-26 --- time 36000
2023-04-20 05:13:22,432 INFO Negative OS: -0.5129239062097355 --- ticker SYK --- day 2018-02-27 --- time 36000
2023-04-20 05:13:23,954 INFO Negative OS: -0.149680828266336 --- ticker SYK --- day 2018-04-03 --- time 52200
2023-04-20 05:13:24,135 INFO Negative OS: -1.801554271437937 --- ticker SYK --- day 2018-04-06 --- time 48600
2023-04-20 05:13:24,676 INFO Negative OS: -0.004179137116068432 --- ticker SYK --- day 2018-04-19 --- time 39600
2023-04-20 05:13:25,321 INFO Negative OS: -0.19342356566114538 --- ticker SYK --- day 2018-05-03 --- time 52200
2023-04-20 05:13:25,505 INFO Negative OS: -0.4306422117704385 --- ticker SYK --- day 2018-05-08 --- time 50400
2023-04-20 05:13:26,900 INFO Negative OS: -1.839842082779915 --- ticker SYK --- day 2018-06-11 --- time 37800
2023-04-20 05:13:26,996 INFO Negative OS: -0.6166674593904016 --- ticker SYK --- day 2018-06-12 --- time 45000
2023-04-20 05:13:27,592 INFO Negative OS: -0.04003136362364201 --- ticker SYK --- day 2018-06-25 --- time 52200
2023-04-20 05:13:32,324 INFO Negative OS: -1.6819861606642417 --- ticker SYK --- day 2018-10-11 --- time 41400
2023-04-20 05:13:32,841 INFO Negative OS: -0.1420974015941343 --- ticker SYK --- day 2018-10-23 --- time 36000
2023-04-20 05:13:33,066 INFO Negative OS: -0.02363899312982909 --- ticker SYK --- day 2018-10-26 --- time 37800
2023-04-20 05:13:33,072 INFO Negative OS: -0.03994816134178625 --- ticker SYK --- day 2018-10-26 --- time 39600
2023-04-20 05:13:33,078 INFO Negative OS: -0.17204246691553626 --- ticker SYK --- day 2018-10-26 --- time 41400
2023-04-20 05:13:33,084 INFO Negative OS: -0.6132584088026245 --- ticker SYK --- day 2018-10-26 --- time 43200
2023-04-20 05:13:33,102 INFO Negative OS: -0.13777383749727723 --- ticker SYK --- day 2018-10-26 --- time 48600
2023-04-20 05:13:33,817 INFO Negative OS: -0.21637120112936592 --- ticker SYK --- day 2018-11-12 --- time 37800
2023-04-20 05:13:34,796 INFO Negative OS: -0.5779012363950464 --- ticker SYK --- day 2018-12-06 --- time 37800
2023-04-20 05:13:34,819 INFO Negative OS: -0.5623972245896798 --- ticker SYK --- day 2018-12-06 --- time 45000
2023-04-20 05:13:34,890 INFO Negative OS: -0.3986395257522528 --- ticker SYK --- day 2018-12-07 --- time 41400
2023-04-20 05:13:34,986 INFO Negative OS: -3.7956250475887483 --- ticker SYK --- day 2018-12-10 --- time 50400
2023-04-20 05:13:35,292 INFO Negative OS: -0.06583148609059841 --- ticker SYK --- day 2018-12-17 --- time 41400
2023-04-20 05:13:35,530 INFO Negative OS: -0.6951222128239272 --- ticker SYK --- day 2018-12-20 --- time 45000
2023-04-20 05:13:35,587 INFO Negative OS: -0.07924438297758774 --- ticker SYK --- day 2018-12-21 --- time 36000
2023-04-20 05:13:35,605 INFO Negative OS: -0.4725212801311074 --- ticker SYK --- day 2018-12-21 --- time 41400
2023-04-20 05:13:36,171 INFO Negative OS: -0.14717467306148158 --- ticker SYK --- day 2018-12-26 --- time 52200
2023-04-20 05:13:36,261 INFO Negative OS: -0.16872749681482313 --- ticker SYK --- day 2018-12-27 --- time 36000
2023-04-20 05:13:36,273 INFO Negative OS: -0.16785727337787693 --- ticker SYK --- day 2018-12-27 --- time 39600
2023-04-20 05:13:36,278 INFO Negative OS: -0.004857004182978963 --- ticker SYK --- day 2018-12-27 --- time 41400
2023-04-20 05:13:36,290 INFO Negative OS: -0.643772133057186 --- ticker SYK --- day 2018-12-27 --- time 45000
2023-04-20 05:13:36,362 INFO Negative OS: -1.6945962453529946 --- ticker SYK --- day 2018-12-28 --- time 41400
2023-04-20 05:13:36,436 INFO Negative OS: -0.41297335879475305 --- ticker SYK --- day 2018-12-31 --- time 41400
2023-04-20 05:13:36,744 INFO Negative OS: -0.23329602440389463 --- ticker SYK --- day 2019-01-07 --- time 41400
2023-04-20 05:13:36,823 INFO Negative OS: -0.6181841993517607 --- ticker SYK --- day 2019-01-08 --- time 41400
2023-04-20 05:13:37,108 INFO Negative OS: -0.4085318648326468 --- ticker SYK --- day 2019-01-15 --- time 52200
2023-04-20 05:13:37,665 INFO Negative OS: -0.3441558239620881 --- ticker SYK --- day 2019-01-29 --- time 36000
2023-04-20 05:13:37,879 INFO Negative OS: -0.4379558752733179 --- ticker SYK --- day 2019-02-01 --- time 36000
2023-04-20 05:13:37,891 INFO Negative OS: -0.3007193744967225 --- ticker SYK --- day 2019-02-01 --- time 39600
2023-04-20 05:13:45,827 INFO Negative OS: -0.08570537286277014 --- ticker SYK --- day 2019-08-01 --- time 36000
2023-04-20 05:13:48,556 INFO Negative OS: -0.5300424373430948 --- ticker SYK --- day 2019-10-01 --- time 36000
2023-04-20 05:13:48,936 INFO Negative OS: -0.4133350730755725 --- ticker SYK --- day 2019-10-09 --- time 36000
2023-04-20 05:13:49,821 INFO Negative OS: -0.19510577278205132 --- ticker SYK --- day 2019-10-29 --- time 41400
2023-04-20 05:13:51,895 INFO in_r2: 0.7523270493186225 , std 0.12742728853164803 
2023-04-20 05:13:51,895 INFO os_r2: 0.44004076004664566 , std 0.46743990467495256 
2023-04-20 05:13:51,895 INFO intercept: 1.6615475963240782e-06 , std 2.0486244159892872e-05 
2023-04-20 05:13:51,895 INFO ofi_add_1: 0.00016800426734821982 , std 0.00019793481021769893 
2023-04-20 05:13:51,895 INFO ofi_add_2: 0.00016435033583128754 , std 0.00018340878082768027 
2023-04-20 05:13:51,895 INFO ofi_add_3: 0.00011538362208645795 , std 0.00020510721864621818 
2023-04-20 05:13:51,895 INFO ofi_add_4: 0.0001039197382361814 , std 0.00024564858106501983 
2023-04-20 05:13:51,895 INFO ofi_add_5: 6.849835064352034e-05 , std 0.0002753326235464912 
2023-04-20 05:13:51,895 INFO ofi_add_6: 3.687065222431975e-05 , std 0.0002606393554107976 
2023-04-20 05:13:51,895 INFO ofi_add_7: 4.354996974759048e-05 , std 0.0002728143321129613 
2023-04-20 05:13:51,895 INFO ofi_add_8: 3.72114624116337e-05 , std 0.00025457232902079824 
2023-04-20 05:13:51,895 INFO ofi_add_9: 1.5467184156685872e-05 , std 0.00023703183025280153 
2023-04-20 05:13:51,895 INFO ofi_add_10: 5.4565808079131675e-05 , std 0.0002287706662604304 
2023-04-20 05:13:51,895 INFO ofi_cancel_1: 0.00021053446281815992 , std 0.00021827062351592157 
2023-04-20 05:13:51,895 INFO ofi_cancel_2: 0.00017641993399648668 , std 0.00018062191558597645 
2023-04-20 05:13:51,895 INFO ofi_cancel_3: 0.00011551379119421086 , std 0.00024091336326992428 
2023-04-20 05:13:51,895 INFO ofi_cancel_4: 9.404531388342371e-05 , std 0.0002338866507466075 
2023-04-20 05:13:51,895 INFO ofi_cancel_5: 6.068814555389755e-05 , std 0.0002866323128063467 
2023-04-20 05:13:51,895 INFO ofi_cancel_6: 3.203282542730155e-05 , std 0.00025988795694672524 
2023-04-20 05:13:51,896 INFO ofi_cancel_7: 4.3047452233122176e-05 , std 0.0002818555164474387 
2023-04-20 05:13:51,896 INFO ofi_cancel_8: 2.9433673723532327e-05 , std 0.00027341903374797057 
2023-04-20 05:13:51,896 INFO ofi_cancel_9: 1.3224139395586852e-05 , std 0.00025249464056173123 
2023-04-20 05:13:51,896 INFO ofi_cancel_10: 6.108730342808639e-05 , std 0.00024282310365991212 
2023-04-20 05:13:51,896 INFO ofi_trade_1: 0.00015048359948944715 , std 0.00036937731857493856 
2023-04-20 05:13:51,896 INFO ofi_trade_2: 0.00015673947233344325 , std 0.0005295797650788747 
2023-04-20 05:13:51,896 INFO ofi_trade_3: 8.925065633687237e-05 , std 0.0005251174054907283 
2023-04-20 05:13:51,896 INFO ofi_trade_4: 0.00010355735774274947 , std 0.0005778262897355956 
2023-04-20 05:13:51,896 INFO ofi_trade_5: 7.710425128998001e-05 , std 0.0006058716072947349 
2023-04-20 05:13:51,896 INFO ofi_trade_6: 0.00011229792868605446 , std 0.000523124311421799 
2023-04-20 05:13:51,896 INFO ofi_trade_7: 8.149228891077127e-05 , std 0.0006129159723433405 
2023-04-20 05:13:51,896 INFO ofi_trade_8: 0.00013532715603468002 , std 0.0005743232169002453 
2023-04-20 05:13:51,896 INFO ofi_trade_9: 0.00013908937246826303 , std 0.0005796793453293858 
2023-04-20 05:13:51,896 INFO ofi_trade_10: 0.00018661962753804728 , std 0.00045823845636763457 
2023-04-20 05:13:51,896 INFO t_intercept: 0.00914613339463616 , std 0.9882968767584145 
2023-04-20 05:13:51,896 INFO t_ofi_add_1: 2.5527268528137985 , std 1.583480632054377 
2023-04-20 05:13:51,896 INFO t_ofi_add_2: 2.0473581558603007 , std 1.481795662853243 
2023-04-20 05:13:51,896 INFO t_ofi_add_3: 1.2396018318327324 , std 1.3212039382210339 
2023-04-20 05:13:51,896 INFO t_ofi_add_4: 1.0024800228441098 , std 1.2900612891184167 
2023-04-20 05:13:51,896 INFO t_ofi_add_5: 0.5632379832937632 , std 1.310928870541927 
2023-04-20 05:13:51,896 INFO t_ofi_add_6: 0.41065265150777636 , std 1.272878587063141 
2023-04-20 05:13:51,896 INFO t_ofi_add_7: 0.4384576085351269 , std 1.3332270300584474 
2023-04-20 05:13:51,896 INFO t_ofi_add_8: 0.3365681227374182 , std 1.286099558794883 
2023-04-20 05:13:51,896 INFO t_ofi_add_9: 0.2789929860336368 , std 1.3106200675553166 
2023-04-20 05:13:51,896 INFO t_ofi_add_10: 0.5114014502919618 , std 1.5815257694857963 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_1: 2.6076447444150475 , std 1.4578973043094599 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_2: 2.1239416869035956 , std 1.484139730027853 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_3: 1.2125600858532064 , std 1.3614489092322826 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_4: 0.8683949398042664 , std 1.2671543729996637 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_5: 0.46567106296570604 , std 1.314499999687396 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_6: 0.3320135642304112 , std 1.296806138361289 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_7: 0.33127209169227123 , std 1.2798724013825717 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_8: 0.27217113562013495 , std 1.3048085981923572 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_9: 0.24228530084391142 , std 1.340571548531718 
2023-04-20 05:13:51,896 INFO t_ofi_cancel_10: 0.56526574904329 , std 1.6451789704183584 
2023-04-20 05:13:51,896 INFO t_ofi_trade_1: 1.1766603762692438 , std 1.53884694581868 
2023-04-20 05:13:51,896 INFO t_ofi_trade_2: 0.6338110442562663 , std 1.4893528068636332 
2023-04-20 05:13:51,896 INFO t_ofi_trade_3: 0.38520885995493875 , std 1.384868497673149 
2023-04-20 05:13:51,896 INFO t_ofi_trade_4: 0.41186310106211627 , std 1.3435739406840224 
