2023-04-20 05:02:24,074 INFO Tickers: ['UNH']
2023-04-20 05:02:25,433 INFO Negative OS: -0.19324952840263365 --- ticker UNH --- day 2017-01-17 --- time 36000
2023-04-20 05:02:26,783 INFO Negative OS: -0.05505104985297349 --- ticker UNH --- day 2017-01-30 --- time 39600
2023-04-20 05:02:56,479 INFO Negative OS: -0.12423014626761719 --- ticker UNH --- day 2017-12-01 --- time 41400
2023-04-20 05:02:57,612 INFO Negative OS: -0.06534559829932185 --- ticker UNH --- day 2017-12-13 --- time 50400
2023-04-20 05:02:59,506 INFO Negative OS: -0.11437703257306908 --- ticker UNH --- day 2018-01-05 --- time 52200
2023-04-20 05:02:59,769 INFO Negative OS: -1.7679985941738776 --- ticker UNH --- day 2018-01-09 --- time 52200
2023-04-20 05:03:00,102 INFO Negative OS: -1.6512461652997477 --- ticker UNH --- day 2018-01-12 --- time 36000
2023-04-20 05:03:00,645 INFO Negative OS: -2.2938511536001096 --- ticker UNH --- day 2018-01-18 --- time 52200
2023-04-20 05:03:00,804 INFO Negative OS: -4.621937573667444 --- ticker UNH --- day 2018-01-19 --- time 52200
2023-04-20 05:03:01,414 INFO Negative OS: -1.4387651093620222 --- ticker UNH --- day 2018-01-25 --- time 52200
2023-04-20 05:03:01,568 INFO Negative OS: -1.8678107084991047 --- ticker UNH --- day 2018-01-26 --- time 52200
2023-04-20 05:03:01,976 INFO Negative OS: -6.423620893468941 --- ticker UNH --- day 2018-01-31 --- time 36000
2023-04-20 05:03:02,527 INFO Negative OS: -0.10468952147055721 --- ticker UNH --- day 2018-02-05 --- time 45000
2023-04-20 05:03:02,666 INFO Negative OS: -0.14349590043967964 --- ticker UNH --- day 2018-02-06 --- time 41400
2023-04-20 05:03:02,715 INFO Negative OS: -8.001485075879375 --- ticker UNH --- day 2018-02-06 --- time 48600
2023-04-20 05:03:03,159 INFO Negative OS: -0.050712318212950525 --- ticker UNH --- day 2018-02-09 --- time 37800
2023-04-20 05:03:03,694 INFO Negative OS: -1.300004698894142 --- ticker UNH --- day 2018-02-14 --- time 39600
2023-04-20 05:03:06,768 INFO Negative OS: -0.48209211989322265 --- ticker UNH --- day 2018-03-15 --- time 37800
2023-04-20 05:03:08,411 INFO Negative OS: -1.8020825964761231 --- ticker UNH --- day 2018-03-29 --- time 52200
2023-04-20 05:03:08,565 INFO Negative OS: -1.1019560957775436 --- ticker UNH --- day 2018-04-02 --- time 48600
2023-04-20 05:03:15,626 INFO Negative OS: -1.1410508829303923 --- ticker UNH --- day 2018-06-08 --- time 37800
2023-04-20 05:03:24,927 INFO Negative OS: -2.7616043950020863 --- ticker UNH --- day 2018-08-30 --- time 48600
2023-04-20 05:03:25,751 INFO Negative OS: -0.16588170307286187 --- ticker UNH --- day 2018-09-07 --- time 46800
2023-04-20 05:03:26,619 INFO Negative OS: -0.06014742618668234 --- ticker UNH --- day 2018-09-14 --- time 45000
2023-04-20 05:03:27,296 INFO Negative OS: -2.4559641678100124 --- ticker UNH --- day 2018-09-20 --- time 48600
2023-04-20 05:03:27,658 INFO Negative OS: -0.06058764483583934 --- ticker UNH --- day 2018-09-24 --- time 52200
2023-04-20 05:03:28,580 INFO Negative OS: -0.6006563735535395 --- ticker UNH --- day 2018-10-02 --- time 41400
2023-04-20 05:03:30,183 INFO Negative OS: -0.43669395312705883 --- ticker UNH --- day 2018-10-15 --- time 52200
2023-04-20 05:03:32,105 INFO Negative OS: -0.18688921892735433 --- ticker UNH --- day 2018-10-30 --- time 50400
2023-04-20 05:03:32,917 INFO Negative OS: -1.1748349232725617 --- ticker UNH --- day 2018-11-06 --- time 41400
2023-04-20 05:03:32,936 INFO Negative OS: -0.016306291928658068 --- ticker UNH --- day 2018-11-06 --- time 43200
2023-04-20 05:03:32,948 INFO Negative OS: -0.25822229308304645 --- ticker UNH --- day 2018-11-06 --- time 46800
2023-04-20 05:03:35,657 INFO Negative OS: -1.410909465725767 --- ticker UNH --- day 2018-11-29 --- time 37800
2023-04-20 05:03:35,693 INFO Negative OS: -3.7401788138241487 --- ticker UNH --- day 2018-11-29 --- time 45000
2023-04-20 05:03:50,249 INFO Negative OS: -414.22293369511965 --- ticker UNH --- day 2019-04-05 --- time 36000
2023-04-20 05:03:51,407 INFO Negative OS: -1.2001430174834655 --- ticker UNH --- day 2019-04-16 --- time 36000
2023-04-20 05:03:57,131 INFO Negative OS: -3.8281226097360026 --- ticker UNH --- day 2019-06-04 --- time 43200
2023-04-20 05:03:58,198 INFO Negative OS: -0.1402253973206835 --- ticker UNH --- day 2019-06-13 --- time 36000
2023-04-20 05:04:03,008 INFO Negative OS: -1.3168298853546117 --- ticker UNH --- day 2019-07-25 --- time 52200
2023-04-20 05:04:04,939 INFO Negative OS: -6.215059829466741 --- ticker UNH --- day 2019-08-12 --- time 52200
2023-04-20 05:04:06,292 INFO Negative OS: -2.7276186380162386 --- ticker UNH --- day 2019-08-23 --- time 36000
2023-04-20 05:04:06,987 INFO Negative OS: -0.08420404014454608 --- ticker UNH --- day 2019-08-29 --- time 39600
2023-04-20 05:04:07,658 INFO Negative OS: -4.052699160587302 --- ticker UNH --- day 2019-09-05 --- time 37800
2023-04-20 05:04:09,435 INFO Negative OS: -2.1501465100974997 --- ticker UNH --- day 2019-09-20 --- time 37800
2023-04-20 05:04:14,059 INFO Negative OS: -0.2137904140917839 --- ticker UNH --- day 2019-10-30 --- time 50400
2023-04-20 05:04:14,279 INFO Negative OS: -0.522256574589562 --- ticker UNH --- day 2019-11-01 --- time 36000
2023-04-20 05:04:14,368 INFO Negative OS: -0.8355463381307042 --- ticker UNH --- day 2019-11-01 --- time 50400
2023-04-20 05:04:15,617 INFO Negative OS: -7.563563255651795 --- ticker UNH --- day 2019-11-14 --- time 36000
2023-04-20 05:04:17,286 INFO Negative OS: -0.24910180321856323 --- ticker UNH --- day 2019-12-02 --- time 39600
2023-04-20 05:04:18,789 INFO in_r2: 0.8830018876024587 , std 0.051549197777063294 
2023-04-20 05:04:18,789 INFO os_r2: 0.6787031108040458 , std 6.108454916875481 
2023-04-20 05:04:18,789 INFO intercept: 4.2941480299128e-07 , std 9.392357581422039e-06 
2023-04-20 05:04:18,789 INFO ofi_add_1: 7.934663680939979e-05 , std 6.666471399060432e-05 
2023-04-20 05:04:18,789 INFO ofi_add_2: 9.146849616565595e-05 , std 7.089358516184305e-05 
2023-04-20 05:04:18,789 INFO ofi_add_3: 6.146554224420701e-05 , std 6.753865601081001e-05 
2023-04-20 05:04:18,789 INFO ofi_add_4: 3.9507901015394076e-05 , std 6.693927989564731e-05 
2023-04-20 05:04:18,789 INFO ofi_add_5: 3.00060238786289e-05 , std 6.717765507349627e-05 
2023-04-20 05:04:18,789 INFO ofi_add_6: 2.4804632413876413e-05 , std 7.154211703137526e-05 
2023-04-20 05:04:18,789 INFO ofi_add_7: 1.8987608638955952e-05 , std 7.075724426908428e-05 
2023-04-20 05:04:18,789 INFO ofi_add_8: 1.8011651162736352e-05 , std 7.195298375397359e-05 
2023-04-20 05:04:18,789 INFO ofi_add_9: 1.2068573927546163e-05 , std 7.08185126329423e-05 
2023-04-20 05:04:18,789 INFO ofi_add_10: 1.1181059761197739e-05 , std 5.850439520502671e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_1: 0.00010204355039139721 , std 7.812871983979475e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_2: 0.00010271785881716525 , std 7.269384978692906e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_3: 6.0494804943225275e-05 , std 6.690770970263381e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_4: 3.597902177119485e-05 , std 6.940538158225565e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_5: 2.6177278569204122e-05 , std 6.934614331744145e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_6: 2.024017658551417e-05 , std 7.341035808243106e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_7: 1.447240934928398e-05 , std 7.33347385756032e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_8: 1.3844375160165957e-05 , std 7.44327978367506e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_9: 8.213053863183759e-06 , std 7.25298256511052e-05 
2023-04-20 05:04:18,789 INFO ofi_cancel_10: 1.0253063324108394e-05 , std 6.0766657584865135e-05 
2023-04-20 05:04:18,789 INFO ofi_trade_1: 4.970223442493326e-05 , std 0.0001350693831214169 
2023-04-20 05:04:18,789 INFO ofi_trade_2: 8.637617401900965e-05 , std 0.00014679958284205457 
2023-04-20 05:04:18,789 INFO ofi_trade_3: 5.663779856530596e-05 , std 0.0001488953399280321 
2023-04-20 05:04:18,789 INFO ofi_trade_4: 3.52393131728624e-05 , std 0.00015142067942499363 
2023-04-20 05:04:18,789 INFO ofi_trade_5: 3.069567800414322e-05 , std 0.0001452072382769168 
2023-04-20 05:04:18,789 INFO ofi_trade_6: 3.581199437972393e-05 , std 0.00015426500768680643 
2023-04-20 05:04:18,789 INFO ofi_trade_7: 3.6326581144313455e-05 , std 0.00015403970824686756 
2023-04-20 05:04:18,790 INFO ofi_trade_8: 3.870010128657272e-05 , std 0.0001587757251581632 
2023-04-20 05:04:18,790 INFO ofi_trade_9: 3.7971249126292843e-05 , std 0.0001518749781786847 
2023-04-20 05:04:18,790 INFO ofi_trade_10: 4.694590681108455e-05 , std 0.00015359809001390962 
2023-04-20 05:04:18,790 INFO t_intercept: 0.04816556350823672 , std 1.025641391151174 
2023-04-20 05:04:18,790 INFO t_ofi_add_1: 2.0868223735538796 , std 1.4273011780474716 
2023-04-20 05:04:18,790 INFO t_ofi_add_2: 2.027062118364437 , std 1.3495969903086338 
2023-04-20 05:04:18,790 INFO t_ofi_add_3: 1.2814379954617534 , std 1.2373825558197906 
2023-04-20 05:04:18,790 INFO t_ofi_add_4: 0.8132871326799622 , std 1.19663396021306 
2023-04-20 05:04:18,790 INFO t_ofi_add_5: 0.5856128702756468 , std 1.18291110947742 
2023-04-20 05:04:18,790 INFO t_ofi_add_6: 0.45875224053137875 , std 1.196758762111369 
2023-04-20 05:04:18,790 INFO t_ofi_add_7: 0.372798787286956 , std 1.1772654025106986 
2023-04-20 05:04:18,790 INFO t_ofi_add_8: 0.3609569480749683 , std 1.1949042904254625 
2023-04-20 05:04:18,790 INFO t_ofi_add_9: 0.2572308515425585 , std 1.1821906249442795 
2023-04-20 05:04:18,790 INFO t_ofi_add_10: 0.32615932410654164 , std 1.2386178292860919 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_1: 2.2677927043749078 , std 1.443228050454467 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_2: 2.222645512892641 , std 1.340943843416192 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_3: 1.2435715430301981 , std 1.2301229398287792 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_4: 0.7137194065650655 , std 1.2070358027276837 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_5: 0.49401109233760643 , std 1.1744585214422656 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_6: 0.35198099006085565 , std 1.1773470061729698 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_7: 0.26551147295608235 , std 1.1745176341215657 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_8: 0.26321547551987595 , std 1.1880333494287938 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_9: 0.1617927763441136 , std 1.1766630822807322 
2023-04-20 05:04:18,790 INFO t_ofi_cancel_10: 0.2705023920587925 , std 1.2390757602404388 
2023-04-20 05:04:18,790 INFO t_ofi_trade_1: 0.546335568212356 , std 1.3381688117307609 
2023-04-20 05:04:18,790 INFO t_ofi_trade_2: 0.8809330437959434 , std 1.270055686174026 
