2023-04-20 05:01:04,308 INFO Experiment: individual_price_impact
2023-04-20 05:14:56,326 INFO in_r2: 0.9299726759796227 , std 0.0737442068581353 
2023-04-20 05:14:56,326 INFO os_r2: -79.48645758055763 , std 44541.35126966588 
2023-04-20 05:14:56,326 INFO intercept: 6.758584573824802e-08 , std 7.633511356649962e-06 
2023-04-20 05:14:56,326 INFO ofi_add_1: 4.9427902530454614e-05 , std 6.729452189625155e-05 
2023-04-20 05:14:56,326 INFO ofi_add_2: 7.972272940166654e-05 , std 7.438450398506993e-05 
2023-04-20 05:14:56,326 INFO ofi_add_3: 6.67469389384183e-05 , std 7.53338289001145e-05 
2023-04-20 05:14:56,326 INFO ofi_add_4: 6.256804214054698e-05 , std 9.098522180571256e-05 
2023-04-20 05:14:56,326 INFO ofi_add_5: 6.507786622447255e-05 , std 0.00010979700435931118 
2023-04-20 05:14:56,326 INFO ofi_add_6: 7.616636804303839e-05 , std 0.00013127405180771617 
2023-04-20 05:14:56,326 INFO ofi_add_7: 7.703490607662555e-05 , std 0.00013783797512972922 
2023-04-20 05:14:56,326 INFO ofi_add_8: 7.500810605077816e-05 , std 0.00013663292581504057 
2023-04-20 05:14:56,326 INFO ofi_add_9: 6.954415021147231e-05 , std 0.00018743612454775525 
2023-04-20 05:14:56,327 INFO ofi_add_10: 8.23196706650018e-05 , std 0.0002479407870272288 
2023-04-20 05:14:56,327 INFO ofi_cancel_1: 5.6009644778775604e-05 , std 8.125127784420587e-05 
2023-04-20 05:14:56,327 INFO ofi_cancel_2: 7.87879415696651e-05 , std 7.631195376619492e-05 
2023-04-20 05:14:56,327 INFO ofi_cancel_3: 6.379763133421444e-05 , std 7.509239999703139e-05 
2023-04-20 05:14:56,327 INFO ofi_cancel_4: 5.857740626621556e-05 , std 9.292471108563094e-05 
2023-04-20 05:14:56,327 INFO ofi_cancel_5: 6.00638825928538e-05 , std 0.00011677286724153264 
2023-04-20 05:14:56,327 INFO ofi_cancel_6: 7.319382555894e-05 , std 0.00015398071110938677 
2023-04-20 05:14:56,327 INFO ofi_cancel_7: 7.477764081687799e-05 , std 0.00016841662352463772 
2023-04-20 05:14:56,327 INFO ofi_cancel_8: 7.649853084634191e-05 , std 0.0003050703567721235 
2023-04-20 05:14:56,327 INFO ofi_cancel_9: 7.294917424635947e-05 , std 0.000207667660702974 
2023-04-20 05:14:56,327 INFO ofi_cancel_10: 8.751486765475694e-05 , std 0.0005912851363989741 
2023-04-20 05:14:56,327 INFO ofi_trade_1: 4.960147073383035e-05 , std 0.00014949709516972319 
2023-04-20 05:14:56,327 INFO ofi_trade_2: 8.541870652674554e-05 , std 0.009676375870878723 
2023-04-20 05:14:56,327 INFO ofi_trade_3: -3.658953770385688e-06 , std 0.041684255058480724 
2023-04-20 05:14:56,327 INFO ofi_trade_4: 9.32883530891986e-05 , std 0.026295966856890493 
2023-04-20 05:14:56,327 INFO ofi_trade_5: -2.915779003201334e-05 , std 0.05105771868814673 
2023-04-20 05:14:56,327 INFO ofi_trade_6: 7.230329410583988e-05 , std 0.015848111096560015 
2023-04-20 05:14:56,327 INFO ofi_trade_7: 0.00020747485903430647 , std 0.07698367864354967 
2023-04-20 05:14:56,327 INFO ofi_trade_8: 0.00010259047666756332 , std 0.03818777700262105 
2023-04-20 05:14:56,327 INFO ofi_trade_9: 0.00014362593542166936 , std 0.06678181403482746 
2023-04-20 05:14:56,327 INFO ofi_trade_10: 0.00019835897623659199 , std 0.05592471506307384 
2023-04-20 05:14:56,327 INFO t_intercept: 0.00611909435740786 , std 1.0856630421825917 
2023-04-20 05:14:56,327 INFO t_ofi_add_1: 1.6785835296733767 , std 1.7237054380223933 
2023-04-20 05:14:56,327 INFO t_ofi_add_2: 2.421343647670308 , std 2.0554716789111427 
2023-04-20 05:14:56,327 INFO t_ofi_add_3: 2.0252248870123464 , std 1.9649530638467625 
2023-04-20 05:14:56,327 INFO t_ofi_add_4: 1.8733318882587664 , std 2.2184994713134922 
2023-04-20 05:14:56,327 INFO t_ofi_add_5: 527142223.4877935 , std 386794893148.72504 
2023-04-20 05:14:56,327 INFO t_ofi_add_6: 1.972920185011643 , std 2.7541071036024594 
2023-04-20 05:14:56,327 INFO t_ofi_add_7: 1.8001697728586186 , std 2.599341283126815 
2023-04-20 05:14:56,327 INFO t_ofi_add_8: 770142212.6292516 , std 274079997423.21793 
2023-04-20 05:14:56,327 INFO t_ofi_add_9: 2086522439.8352833 , std 319806313914.58704 
2023-04-20 05:14:56,327 INFO t_ofi_add_10: 5879457954.096283 , std 1075284250875.0099 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_1: 1.5146496067675674 , std 1.6706722488634451 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_2: 2.1787842749789648 , std 1.7408234371571765 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_3: 1.7584882412576885 , std 1.6722096254682266 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_4: 1.5286881655540148 , std 1.765844906650884 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_5: 1.4382801592295413 , std 1.9019149458901696 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_6: 1.4964196654848447 , std 2.0671957503355527 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_7: 1.3598693930022543 , std 2.001811306486037 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_8: -69976015.55113477 , std 89206629019.1539 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_9: 1122411800.476108 , std 285179685173.5987 
2023-04-20 05:14:56,327 INFO t_ofi_cancel_10: 1459817897.446967 , std 463369947416.5567 
2023-04-20 05:14:56,327 INFO t_ofi_trade_1: 778226661.2359844 , std 438312872196.3201 
2023-04-20 05:14:56,327 INFO t_ofi_trade_2: 18060609743.70664 , std 2113471877394.6143 
2023-04-20 05:14:56,327 INFO t_ofi_trade_3: 19383564724.093376 , std 1972906603546.4277 
2023-04-20 05:14:56,327 INFO t_ofi_trade_4: 18646625082.245224 , std 2140617418489.0825 
2023-04-20 05:14:56,327 INFO t_ofi_trade_5: 18925294456.54009 , std 1884412068831.2354 
2023-04-20 05:14:56,327 INFO t_ofi_trade_6: 20898559411.193905 , std 1913099143106.4585 
2023-04-20 05:14:56,327 INFO t_ofi_trade_7: 15729824125.953665 , std 1911511972468.347 
2023-04-20 05:14:56,327 INFO t_ofi_trade_8: 20934418370.766346 , std 1915563547668.074 
2023-04-20 05:14:56,327 INFO t_ofi_trade_9: 16103472087.956942 , std 1812221940063.1138 
2023-04-20 05:14:56,328 INFO t_ofi_trade_10: 15531253808.555782 , std 1835701399074.7861 
2023-04-20 05:14:56,328 INFO p_intercept: 0.4904874560828846 , std 0.29305350414531744 
2023-04-20 05:14:56,328 INFO p_ofi_add_1: 0.2377326141914236 , std 0.29177786658996746 
2023-04-20 05:14:56,328 INFO p_ofi_add_2: 0.1701098440614508 , std 0.25934133696031475 
2023-04-20 05:14:56,328 INFO p_ofi_add_3: 0.2184560442990893 , std 0.28245923121863054 
2023-04-20 05:14:56,328 INFO p_ofi_add_4: 0.25505741318894937 , std 0.29806059286489317 
