2023-04-20 16:28:07,503 INFO Experiment: universal_price_impact
2023-04-20 16:28:07,509 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-20 16:30:30,655 INFO Negative OS: -0.024449119500251415 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-02-02 --- time 46800
2023-04-20 16:32:52,382 INFO Negative OS: -0.2333688989031415 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-03-08 --- time 36000
2023-04-20 16:48:38,938 INFO Negative OS: -0.07173048196857024 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-10-11 --- time 39600
2023-04-20 16:50:46,542 INFO Negative OS: -0.06235274625199749 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-11-09 --- time 46800
2023-04-20 16:51:35,322 INFO Negative OS: -0.004435024520140551 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-11-21 --- time 52200
2023-04-20 16:53:17,020 INFO Negative OS: -1.0038483032621004 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-15 --- time 52200
2023-04-20 16:53:28,069 INFO Negative OS: -1.0320862333387404 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-19 --- time 46800
2023-04-20 16:53:28,413 INFO Negative OS: -1.0400918371991419 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-19 --- time 48600
2023-04-20 16:53:38,355 INFO Negative OS: -0.40885009780679793 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-21 --- time 37800
2023-04-20 16:53:40,063 INFO Negative OS: -0.10498430750788379 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-21 --- time 46800
2023-04-20 16:53:56,449 INFO Negative OS: -0.04032982777745553 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-27 --- time 39600
2023-04-20 16:54:07,847 INFO Negative OS: -0.06728013667431876 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2017-12-29 --- time 37800
2023-04-20 16:54:15,535 INFO Negative OS: -0.07172210763833986 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-02 --- time 46800
2023-04-20 16:54:20,676 INFO Negative OS: -0.06790743297935697 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-03 --- time 41400
2023-04-20 16:54:21,027 INFO Negative OS: -0.37766149735496013 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-03 --- time 43200
2023-04-20 16:54:22,433 INFO Negative OS: -4.8179432622259775 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-03 --- time 50400
2023-04-20 16:54:34,246 INFO Negative OS: -0.12213138703780557 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-05 --- time 48600
2023-04-20 16:54:34,951 INFO Negative OS: -0.14196234336557367 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-05 --- time 52200
2023-04-20 16:54:40,299 INFO Negative OS: -0.11633811033258334 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-08 --- time 48600
2023-04-20 16:54:41,020 INFO Negative OS: -1.056837218823461 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-08 --- time 52200
2023-04-20 16:54:44,971 INFO Negative OS: -1.2789627534379533 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-09 --- time 41400
2023-04-20 16:54:45,668 INFO Negative OS: -0.3448821672807425 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-09 --- time 45000
2023-04-20 16:54:46,364 INFO Negative OS: -0.6648322283093557 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-09 --- time 48600
2023-04-20 16:54:46,718 INFO Negative OS: -0.17992883752979738 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-09 --- time 50400
2023-04-20 16:54:50,327 INFO Negative OS: -0.06654824340977017 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-10 --- time 37800
2023-04-20 16:54:56,420 INFO Negative OS: -0.14554645047761672 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-11 --- time 37800
2023-04-20 16:55:08,649 INFO Negative OS: -0.1072446035139365 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-16 --- time 37800
2023-04-20 16:55:17,723 INFO Negative OS: -0.2811339639947652 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-17 --- time 52200
2023-04-20 16:55:28,212 INFO Negative OS: -0.047990259929791446 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-19 --- time 43200
2023-04-20 16:55:29,642 INFO Negative OS: -0.03150470955403395 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-19 --- time 50400
2023-04-20 16:55:34,457 INFO Negative OS: -1.6881287701917933 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-22 --- time 43200
2023-04-20 16:55:34,815 INFO Negative OS: -0.02041158648539776 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-22 --- time 45000
2023-04-20 16:55:35,884 INFO Negative OS: -0.1145178217875642 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-22 --- time 50400
2023-04-20 16:55:39,921 INFO Negative OS: -3.2402920233009906 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-23 --- time 39600
2023-04-20 16:55:54,499 INFO Negative OS: -0.10873803674808835 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-25 --- time 50400
2023-04-20 16:55:54,870 INFO Negative OS: -0.35696618273914926 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-25 --- time 52200
2023-04-20 16:55:59,263 INFO Negative OS: -2.4877710074871007 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-26 --- time 43200
2023-04-20 16:56:00,334 INFO Negative OS: -0.08998854831137426 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-26 --- time 48600
2023-04-20 16:56:01,060 INFO Negative OS: -0.23981028909622992 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-26 --- time 52200
2023-04-20 16:56:05,934 INFO Negative OS: -4.599872788496268 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-29 --- time 45000
2023-04-20 16:56:16,550 INFO Negative OS: -0.15854857333954087 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-01-31 --- time 36000
2023-04-20 16:56:22,748 INFO Negative OS: -0.013130608934257326 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-01 --- time 36000
2023-04-20 16:56:37,083 INFO Negative OS: -0.008424274438865176 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-05 --- time 45000
2023-04-20 16:56:38,216 INFO Negative OS: -0.020686772217780813 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-05 --- time 50400
2023-04-20 16:56:54,152 INFO Negative OS: -0.04714743656255305 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-08 --- time 36000
2023-04-20 16:56:56,036 INFO Negative OS: -0.3952269947440161 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-08 --- time 45000
2023-04-20 16:57:22,299 INFO Negative OS: -0.8526370074327849 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-14 --- time 50400
2023-04-20 16:57:26,698 INFO Negative OS: -0.8463629619920019 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-15 --- time 41400
2023-04-20 16:57:28,137 INFO Negative OS: -7.406354383220426 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-15 --- time 48600
2023-04-20 16:57:28,875 INFO Negative OS: -0.011953457200275741 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-15 --- time 52200
2023-04-20 16:57:59,446 INFO Negative OS: -4.91622636619894 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-02-23 --- time 50400
2023-04-20 16:58:57,491 INFO Negative OS: -0.341885707038746 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-03-08 --- time 45000
2023-04-20 16:58:58,222 INFO Negative OS: -4.231114110583019 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-03-08 --- time 48600
2023-04-20 16:59:01,883 INFO Negative OS: -0.09774529087920625 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-03-09 --- time 36000
2023-04-20 16:59:02,988 INFO Negative OS: -0.21647521514865864 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-03-09 --- time 41400
2023-04-20 16:59:04,071 INFO Negative OS: -1.2793921924040377 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2018-03-09 --- time 46800
